name,value,year,lastValue,rank,image,largeDate,country
Yusheng Du (???),3.470,2018,3.470,1,YushengDu(???),2018,China
Yusheng Du (???),3.470,2018.02,3.470,0,YushengDu(???),2018.02,China
Yusheng Du (???),3.470,2018.04,3.470,0,YushengDu(???),2018.04,China
Yusheng Du (???),3.470,2018.06,3.470,0,YushengDu(???),2018.06,China
Yusheng Du (???),3.470,2018.08,3.470,0,YushengDu(???),2018.08,China
Yusheng Du (???),3.470,2018.1,3.470,0,YushengDu(???),2018.1,China
Yusheng Du (???),3.470,2018.12,3.470,0,YushengDu(???),2018.12,China
Yusheng Du (???),3.470,2018.14,3.470,0,YushengDu(???),2018.14,China
Yusheng Du (???),3.470,2018.16,3.470,0,YushengDu(???),2018.16,China
Yusheng Du (???),3.470,2018.18,3.470,0,YushengDu(???),2018.18,China
Yusheng Du (???),3.470,2018.2,3.470,0,YushengDu(???),2018.2,China
Yusheng Du (???),3.470,2018.22,3.470,0,YushengDu(???),2018.22,China
Yusheng Du (???),3.470,2018.24,3.470,0,YushengDu(???),2018.24,China
Yusheng Du (???),3.470,2018.26,3.470,0,YushengDu(???),2018.26,China
Yusheng Du (???),3.470,2018.28,3.470,0,YushengDu(???),2018.28,China
Yusheng Du (???),3.470,2018.3,3.470,0,YushengDu(???),2018.3,China
Yusheng Du (???),3.470,2018.32,3.470,0,YushengDu(???),2018.32,China
Yusheng Du (???),3.470,2018.34,3.470,0,YushengDu(???),2018.34,China
Yusheng Du (???),3.470,2018.36,3.470,0,YushengDu(???),2018.36,China
Yusheng Du (???),3.470,2018.38,3.470,0,YushengDu(???),2018.38,China
Yusheng Du (???),3.470,2018.4,3.470,0,YushengDu(???),2018.4,China
Yusheng Du (???),3.470,2018.42,3.470,0,YushengDu(???),2018.42,China
Yusheng Du (???),3.470,2018.44,3.470,0,YushengDu(???),2018.44,China
Yusheng Du (???),3.470,2018.46,3.470,0,YushengDu(???),2018.46,China
Yusheng Du (???),3.470,2018.48,3.470,0,YushengDu(???),2018.48,China
Yusheng Du (???),3.470,2018.5,3.470,0,YushengDu(???),2018.5,China
Yusheng Du (???),3.470,2018.52,3.470,0,YushengDu(???),2018.52,China
Yusheng Du (???),3.470,2018.54,3.470,0,YushengDu(???),2018.54,China
Yusheng Du (???),3.470,2018.56,3.470,0,YushengDu(???),2018.56,China
Yusheng Du (???),3.470,2018.58,3.470,0,YushengDu(???),2018.58,China
Yusheng Du (???),3.470,2018.6,3.470,0,YushengDu(???),2018.6,China
Yusheng Du (???),3.470,2018.62,3.470,0,YushengDu(???),2018.62,China
Yusheng Du (???),3.470,2018.64,3.470,0,YushengDu(???),2018.64,China
Yusheng Du (???),3.470,2018.66,3.470,0,YushengDu(???),2018.66,China
Yusheng Du (???),3.470,2018.68,3.470,0,YushengDu(???),2018.68,China
