name,value,year,lastValue,rank,image,largeDate,country
Nick Rimando,7.000,2001,7.000,22,https://images.mlssoccer.com/image/private/t_thumb_squared/f_png/prd-league/dcvfsgjwdceibgw296it.png,2001,NickRimando
Nick Rimando,7.350,2001.05,7.000,0,https://images.mlssoccer.com/image/private/t_thumb_squared/f_png/prd-league/dcvfsgjwdceibgw296it.png,2001,NickRimando
Nick Rimando,7.700,2001.1,7.350,0,https://images.mlssoccer.com/image/private/t_thumb_squared/f_png/prd-league/dcvfsgjwdceibgw296it.png,2001,NickRimando
Nick Rimando,8.050,2001.15,7.700,0,https://images.mlssoccer.com/image/private/t_thumb_squared/f_png/prd-league/dcvfsgjwdceibgw296it.png,2001,NickRimando
Nick Rimando,8.400,2001.2,8.050,0,https://images.mlssoccer.com/image/private/t_thumb_squared/f_png/prd-league/dcvfsgjwdceibgw296it.png,2001,NickRimando
Nick Rimando,8.750,2001.25,8.400,0,https://images.mlssoccer.com/image/private/t_thumb_squared/f_png/prd-league/dcvfsgjwdceibgw296it.png,2001,NickRimando
Nick Rimando,9.100,2001.3,8.750,0,https://images.mlssoccer.com/image/private/t_thumb_squared/f_png/prd-league/dcvfsgjwdceibgw296it.png,2001,NickRimando
Nick Rimando,9.450,2001.35,9.100,0,https://images.mlssoccer.com/image/private/t_thumb_squared/f_png/prd-league/dcvfsgjwdceibgw296it.png,2001,NickRimando
Nick Rimando,9.800,2001.4,9.450,0,https://images.mlssoccer.com/image/private/t_thumb_squared/f_png/prd-league/dcvfsgjwdceibgw296it.png,2001,NickRimando
Nick Rimando,10.150,2001.45,9.800,0,https://images.mlssoccer.com/image/private/t_thumb_squared/f_png/prd-league/dcvfsgjwdceibgw296it.png,2001,NickRimando
Nick Rimando,10.500,2001.5,10.150,0,https://images.mlssoccer.com/image/private/t_thumb_squared/f_png/prd-league/dcvfsgjwdceibgw296it.png,2001,NickRimando
Nick Rimando,10.850,2001.55,10.500,0,https://images.mlssoccer.com/image/private/t_thumb_squared/f_png/prd-league/dcvfsgjwdceibgw296it.png,2001,NickRimando
Nick Rimando,11.200,2001.6,10.850,0,https://images.mlssoccer.com/image/private/t_thumb_squared/f_png/prd-league/dcvfsgjwdceibgw296it.png,2001,NickRimando
Nick Rimando,11.550,2001.65,11.200,0,https://images.mlssoccer.com/image/private/t_thumb_squared/f_png/prd-league/dcvfsgjwdceibgw296it.png,2001,NickRimando
Nick Rimando,11.900,2001.7,11.550,0,https://images.mlssoccer.com/image/private/t_thumb_squared/f_png/prd-league/dcvfsgjwdceibgw296it.png,2001,NickRimando
Nick Rimando,12.250,2001.75,11.900,0,https://images.mlssoccer.com/image/private/t_thumb_squared/f_png/prd-league/dcvfsgjwdceibgw296it.png,2001,NickRimando
Nick Rimando,12.600,2001.8,12.250,0,https://images.mlssoccer.com/image/private/t_thumb_squared/f_png/prd-league/dcvfsgjwdceibgw296it.png,2001,NickRimando
Nick Rimando,12.950,2001.85,12.600,0,https://images.mlssoccer.com/image/private/t_thumb_squared/f_png/prd-league/dcvfsgjwdceibgw296it.png,2001,NickRimando
Nick Rimando,13.300,2001.9,12.950,0,https://images.mlssoccer.com/image/private/t_thumb_squared/f_png/prd-league/dcvfsgjwdceibgw296it.png,2001,NickRimando
Nick Rimando,13.650,2001.95,13.300,0,https://images.mlssoccer.com/image/private/t_thumb_squared/f_png/prd-league/dcvfsgjwdceibgw296it.png,2001,NickRimando
