name,value,year,lastValue,rank,image,largeDate,country
Nick Rimando,218.000,2001,218.000,15,https://images.mlssoccer.com/image/private/t_thumb_squared/f_png/prd-league/dcvfsgjwdceibgw296it.png,,NickRimando
Nick Rimando,224.550,2001.05,218.000,0,https://images.mlssoccer.com/image/private/t_thumb_squared/f_png/prd-league/dcvfsgjwdceibgw296it.png,,NickRimando
Nick Rimando,231.100,2001.1,224.550,0,https://images.mlssoccer.com/image/private/t_thumb_squared/f_png/prd-league/dcvfsgjwdceibgw296it.png,,NickRimando
Nick Rimando,237.650,2001.15,231.100,0,https://images.mlssoccer.com/image/private/t_thumb_squared/f_png/prd-league/dcvfsgjwdceibgw296it.png,,NickRimando
Nick Rimando,244.200,2001.2,237.650,0,https://images.mlssoccer.com/image/private/t_thumb_squared/f_png/prd-league/dcvfsgjwdceibgw296it.png,,NickRimando
Nick Rimando,250.750,2001.25,244.200,0,https://images.mlssoccer.com/image/private/t_thumb_squared/f_png/prd-league/dcvfsgjwdceibgw296it.png,,NickRimando
Nick Rimando,257.300,2001.3,250.750,0,https://images.mlssoccer.com/image/private/t_thumb_squared/f_png/prd-league/dcvfsgjwdceibgw296it.png,,NickRimando
Nick Rimando,263.850,2001.35,257.300,0,https://images.mlssoccer.com/image/private/t_thumb_squared/f_png/prd-league/dcvfsgjwdceibgw296it.png,,NickRimando
Nick Rimando,270.400,2001.4,263.850,0,https://images.mlssoccer.com/image/private/t_thumb_squared/f_png/prd-league/dcvfsgjwdceibgw296it.png,,NickRimando
Nick Rimando,276.950,2001.45,270.400,0,https://images.mlssoccer.com/image/private/t_thumb_squared/f_png/prd-league/dcvfsgjwdceibgw296it.png,,NickRimando
Nick Rimando,283.500,2001.5,276.950,0,https://images.mlssoccer.com/image/private/t_thumb_squared/f_png/prd-league/dcvfsgjwdceibgw296it.png,,NickRimando
Nick Rimando,290.050,2001.55,283.500,0,https://images.mlssoccer.com/image/private/t_thumb_squared/f_png/prd-league/dcvfsgjwdceibgw296it.png,,NickRimando
Nick Rimando,296.600,2001.6,290.050,0,https://images.mlssoccer.com/image/private/t_thumb_squared/f_png/prd-league/dcvfsgjwdceibgw296it.png,,NickRimando
Nick Rimando,303.150,2001.65,296.600,0,https://images.mlssoccer.com/image/private/t_thumb_squared/f_png/prd-league/dcvfsgjwdceibgw296it.png,,NickRimando
Nick Rimando,309.700,2001.7,303.150,0,https://images.mlssoccer.com/image/private/t_thumb_squared/f_png/prd-league/dcvfsgjwdceibgw296it.png,,NickRimando
Nick Rimando,316.250,2001.75,309.700,0,https://images.mlssoccer.com/image/private/t_thumb_squared/f_png/prd-league/dcvfsgjwdceibgw296it.png,,NickRimando
Nick Rimando,322.800,2001.8,316.250,0,https://images.mlssoccer.com/image/private/t_thumb_squared/f_png/prd-league/dcvfsgjwdceibgw296it.png,,NickRimando
Nick Rimando,329.350,2001.85,322.800,0,https://images.mlssoccer.com/image/private/t_thumb_squared/f_png/prd-league/dcvfsgjwdceibgw296it.png,,NickRimando
Nick Rimando,335.900,2001.9,329.350,0,https://images.mlssoccer.com/image/private/t_thumb_squared/f_png/prd-league/dcvfsgjwdceibgw296it.png,,NickRimando
Nick Rimando,342.450,2001.95,335.900,0,https://images.mlssoccer.com/image/private/t_thumb_squared/f_png/prd-league/dcvfsgjwdceibgw296it.png,,NickRimando
Nick Rimando,349.000,2002,342.450,13,https://images.mlssoccer.com/image/private/t_thumb_squared/f_png/prd-league/dcvfsgjwdceibgw296it.png,,NickRimando
