name,value,year,lastValue,rank,image,largeDate,country
Sylvain Distin,328,2007,328,3,https://img.a.transfermarkt.technology/portrait/medium/s_3356_29_2013_10_18_1.jpg?lm=1,,France
Sylvain Distin,357,2007.05,328,0,https://img.a.transfermarkt.technology/portrait/medium/s_3356_29_2013_10_18_1.jpg?lm=1,,France
Sylvain Distin,386,2007.1,357,0,https://img.a.transfermarkt.technology/portrait/medium/s_3356_29_2013_10_18_1.jpg?lm=1,,France
Sylvain Distin,415,2007.15,386,0,https://img.a.transfermarkt.technology/portrait/medium/s_3356_29_2013_10_18_1.jpg?lm=1,,France
Sylvain Distin,444,2007.2,415,0,https://img.a.transfermarkt.technology/portrait/medium/s_3356_29_2013_10_18_1.jpg?lm=1,,France
Sylvain Distin,473,2007.25,444,0,https://img.a.transfermarkt.technology/portrait/medium/s_3356_29_2013_10_18_1.jpg?lm=1,,France
Sylvain Distin,502,2007.3,473,0,https://img.a.transfermarkt.technology/portrait/medium/s_3356_29_2013_10_18_1.jpg?lm=1,,France
Sylvain Distin,531,2007.35,502,0,https://img.a.transfermarkt.technology/portrait/medium/s_3356_29_2013_10_18_1.jpg?lm=1,,France
Sylvain Distin,560,2007.4,531,0,https://img.a.transfermarkt.technology/portrait/medium/s_3356_29_2013_10_18_1.jpg?lm=1,,France
Sylvain Distin,589,2007.45,560,0,https://img.a.transfermarkt.technology/portrait/medium/s_3356_29_2013_10_18_1.jpg?lm=1,,France
Sylvain Distin,618,2007.5,589,0,https://img.a.transfermarkt.technology/portrait/medium/s_3356_29_2013_10_18_1.jpg?lm=1,,France
Sylvain Distin,647,2007.55,618,0,https://img.a.transfermarkt.technology/portrait/medium/s_3356_29_2013_10_18_1.jpg?lm=1,,France
Sylvain Distin,676,2007.6,647,0,https://img.a.transfermarkt.technology/portrait/medium/s_3356_29_2013_10_18_1.jpg?lm=1,,France
Sylvain Distin,705,2007.65,676,0,https://img.a.transfermarkt.technology/portrait/medium/s_3356_29_2013_10_18_1.jpg?lm=1,,France
Sylvain Distin,734,2007.7,705,0,https://img.a.transfermarkt.technology/portrait/medium/s_3356_29_2013_10_18_1.jpg?lm=1,,France
Sylvain Distin,763,2007.75,734,0,https://img.a.transfermarkt.technology/portrait/medium/s_3356_29_2013_10_18_1.jpg?lm=1,,France
Sylvain Distin,792,2007.8,763,0,https://img.a.transfermarkt.technology/portrait/medium/s_3356_29_2013_10_18_1.jpg?lm=1,,France
Sylvain Distin,821,2007.85,792,0,https://img.a.transfermarkt.technology/portrait/medium/s_3356_29_2013_10_18_1.jpg?lm=1,,France
Sylvain Distin,850,2007.9,821,0,https://img.a.transfermarkt.technology/portrait/medium/s_3356_29_2013_10_18_1.jpg?lm=1,,France
Sylvain Distin,879,2007.95,850,0,https://img.a.transfermarkt.technology/portrait/medium/s_3356_29_2013_10_18_1.jpg?lm=1,,France
Sylvain Distin,908,2008,879,1,https://img.a.transfermarkt.technology/portrait/medium/s_3356_29_2013_10_18_1.jpg?lm=1,,France
Sylvain Distin,931.85,2008.05,908,0,https://img.a.transfermarkt.technology/portrait/medium/s_3356_29_2013_10_18_1.jpg?lm=1,,France
Sylvain Distin,955.7,2008.1,931.85,0,https://img.a.transfermarkt.technology/portrait/medium/s_3356_29_2013_10_18_1.jpg?lm=1,,France
Sylvain Distin,979.55,2008.15,955.7,0,https://img.a.transfermarkt.technology/portrait/medium/s_3356_29_2013_10_18_1.jpg?lm=1,,France
Sylvain Distin,1003.4,2008.2,979.55,0,https://img.a.transfermarkt.technology/portrait/medium/s_3356_29_2013_10_18_1.jpg?lm=1,,France
Sylvain Distin,1027.25,2008.25,1003.4,0,https://img.a.transfermarkt.technology/portrait/medium/s_3356_29_2013_10_18_1.jpg?lm=1,,France
Sylvain Distin,1051.1,2008.3,1027.25,0,https://img.a.transfermarkt.technology/portrait/medium/s_3356_29_2013_10_18_1.jpg?lm=1,,France
Sylvain Distin,1074.95,2008.35,1051.1,0,https://img.a.transfermarkt.technology/portrait/medium/s_3356_29_2013_10_18_1.jpg?lm=1,,France
Sylvain Distin,1098.8,2008.4,1074.95,0,https://img.a.transfermarkt.technology/portrait/medium/s_3356_29_2013_10_18_1.jpg?lm=1,,France
Sylvain Distin,1122.65,2008.45,1098.8,0,https://img.a.transfermarkt.technology/portrait/medium/s_3356_29_2013_10_18_1.jpg?lm=1,,France
Sylvain Distin,1146.5,2008.5,1122.65,0,https://img.a.transfermarkt.technology/portrait/medium/s_3356_29_2013_10_18_1.jpg?lm=1,,France
Sylvain Distin,1170.35,2008.55,1146.5,0,https://img.a.transfermarkt.technology/portrait/medium/s_3356_29_2013_10_18_1.jpg?lm=1,,France
Sylvain Distin,1194.2,2008.6,1170.35,0,https://img.a.transfermarkt.technology/portrait/medium/s_3356_29_2013_10_18_1.jpg?lm=1,,France
Sylvain Distin,1218.05,2008.65,1194.2,0,https://img.a.transfermarkt.technology/portrait/medium/s_3356_29_2013_10_18_1.jpg?lm=1,,France
Sylvain Distin,1241.9,2008.7,1218.05,0,https://img.a.transfermarkt.technology/portrait/medium/s_3356_29_2013_10_18_1.jpg?lm=1,,France
Sylvain Distin,1265.75,2008.75,1241.9,0,https://img.a.transfermarkt.technology/portrait/medium/s_3356_29_2013_10_18_1.jpg?lm=1,,France
Sylvain Distin,1289.6,2008.8,1265.75,0,https://img.a.transfermarkt.technology/portrait/medium/s_3356_29_2013_10_18_1.jpg?lm=1,,France
Sylvain Distin,1313.45,2008.85,1289.6,0,https://img.a.transfermarkt.technology/portrait/medium/s_3356_29_2013_10_18_1.jpg?lm=1,,France
Sylvain Distin,1337.3,2008.9,1313.45,0,https://img.a.transfermarkt.technology/portrait/medium/s_3356_29_2013_10_18_1.jpg?lm=1,,France
Sylvain Distin,1361.15,2008.95,1337.3,0,https://img.a.transfermarkt.technology/portrait/medium/s_3356_29_2013_10_18_1.jpg?lm=1,,France
Sylvain Distin,1385,2009,1361.15,1,https://img.a.transfermarkt.technology/portrait/medium/s_3356_29_2013_10_18_1.jpg?lm=1,,France
