name,value,year,lastValue,rank,image,largeDate,country
Alan Shearer,16.000,1993,16.000,5,https://img.a.transfermarkt.technology/portrait/medium/3110-1485180006.jpg?lm=1,1993,England
Alan Shearer,17.550,1993.05,16.000,0,https://img.a.transfermarkt.technology/portrait/medium/3110-1485180006.jpg?lm=1,1993,England
Alan Shearer,19.100,1993.1,17.550,0,https://img.a.transfermarkt.technology/portrait/medium/3110-1485180006.jpg?lm=1,1993,England
Alan Shearer,20.650,1993.15,19.100,0,https://img.a.transfermarkt.technology/portrait/medium/3110-1485180006.jpg?lm=1,1993,England
Alan Shearer,22.200,1993.2,20.650,0,https://img.a.transfermarkt.technology/portrait/medium/3110-1485180006.jpg?lm=1,1993,England
Alan Shearer,23.750,1993.25,22.200,0,https://img.a.transfermarkt.technology/portrait/medium/3110-1485180006.jpg?lm=1,1993,England
Alan Shearer,25.300,1993.3,23.750,0,https://img.a.transfermarkt.technology/portrait/medium/3110-1485180006.jpg?lm=1,1993,England
Alan Shearer,26.850,1993.35,25.300,0,https://img.a.transfermarkt.technology/portrait/medium/3110-1485180006.jpg?lm=1,1993,England
Alan Shearer,28.400,1993.4,26.850,0,https://img.a.transfermarkt.technology/portrait/medium/3110-1485180006.jpg?lm=1,1993,England
Alan Shearer,29.950,1993.45,28.400,0,https://img.a.transfermarkt.technology/portrait/medium/3110-1485180006.jpg?lm=1,1993,England
Alan Shearer,31.500,1993.5,29.950,0,https://img.a.transfermarkt.technology/portrait/medium/3110-1485180006.jpg?lm=1,1993,England
Alan Shearer,33.050,1993.55,31.500,0,https://img.a.transfermarkt.technology/portrait/medium/3110-1485180006.jpg?lm=1,1993,England
Alan Shearer,34.600,1993.6,33.050,0,https://img.a.transfermarkt.technology/portrait/medium/3110-1485180006.jpg?lm=1,1993,England
Alan Shearer,36.150,1993.65,34.600,0,https://img.a.transfermarkt.technology/portrait/medium/3110-1485180006.jpg?lm=1,1993,England
Alan Shearer,37.700,1993.7,36.150,0,https://img.a.transfermarkt.technology/portrait/medium/3110-1485180006.jpg?lm=1,1993,England
Alan Shearer,39.250,1993.75,37.700,0,https://img.a.transfermarkt.technology/portrait/medium/3110-1485180006.jpg?lm=1,1993,England
Alan Shearer,40.800,1993.8,39.250,0,https://img.a.transfermarkt.technology/portrait/medium/3110-1485180006.jpg?lm=1,1993,England
Alan Shearer,42.350,1993.85,40.800,0,https://img.a.transfermarkt.technology/portrait/medium/3110-1485180006.jpg?lm=1,1993,England
Alan Shearer,43.900,1993.9,42.350,0,https://img.a.transfermarkt.technology/portrait/medium/3110-1485180006.jpg?lm=1,1993,England
Alan Shearer,45.450,1993.95,43.900,0,https://img.a.transfermarkt.technology/portrait/medium/3110-1485180006.jpg?lm=1,1993,England
Alan Shearer,47.000,1994,45.450,1,https://img.a.transfermarkt.technology/portrait/medium/3110-1485180006.jpg?lm=1,1993,England
Alan Shearer,48.700,1994.05,47.000,0,https://img.a.transfermarkt.technology/portrait/medium/3110-1485180006.jpg?lm=1,1993,England
Alan Shearer,50.400,1994.1,48.700,0,https://img.a.transfermarkt.technology/portrait/medium/3110-1485180006.jpg?lm=1,1993,England
Alan Shearer,52.100,1994.15,50.400,0,https://img.a.transfermarkt.technology/portrait/medium/3110-1485180006.jpg?lm=1,1993,England
Alan Shearer,53.800,1994.2,52.100,0,https://img.a.transfermarkt.technology/portrait/medium/3110-1485180006.jpg?lm=1,1993,England
Alan Shearer,55.500,1994.25,53.800,0,https://img.a.transfermarkt.technology/portrait/medium/3110-1485180006.jpg?lm=1,1993,England
Alan Shearer,57.200,1994.3,55.500,0,https://img.a.transfermarkt.technology/portrait/medium/3110-1485180006.jpg?lm=1,1993,England
Alan Shearer,58.900,1994.35,57.200,0,https://img.a.transfermarkt.technology/portrait/medium/3110-1485180006.jpg?lm=1,1993,England
Alan Shearer,60.600,1994.4,58.900,0,https://img.a.transfermarkt.technology/portrait/medium/3110-1485180006.jpg?lm=1,1993,England
Alan Shearer,62.300,1994.45,60.600,0,https://img.a.transfermarkt.technology/portrait/medium/3110-1485180006.jpg?lm=1,1993,England
Alan Shearer,64.000,1994.5,62.300,0,https://img.a.transfermarkt.technology/portrait/medium/3110-1485180006.jpg?lm=1,1993,England
Alan Shearer,65.700,1994.55,64.000,0,https://img.a.transfermarkt.technology/portrait/medium/3110-1485180006.jpg?lm=1,1993,England
Alan Shearer,67.400,1994.6,65.700,0,https://img.a.transfermarkt.technology/portrait/medium/3110-1485180006.jpg?lm=1,1993,England
Alan Shearer,69.100,1994.65,67.400,0,https://img.a.transfermarkt.technology/portrait/medium/3110-1485180006.jpg?lm=1,1993,England
Alan Shearer,70.800,1994.7,69.100,0,https://img.a.transfermarkt.technology/portrait/medium/3110-1485180006.jpg?lm=1,1993,England
