name,value,year,lastValue,rank,image,largeDate,country
Lukasz Fabianski,4,2018,1,19,https://img.a.transfermarkt.technology/portrait/medium/29692-1464085213.jpg?lm=1,2018,Poland
Lukasz Fabianski,4.05,2018.05,4,0,https://img.a.transfermarkt.technology/portrait/medium/29692-1464085213.jpg?lm=1,2018,Poland
Lukasz Fabianski,4.1,2018.1,4.05,0,https://img.a.transfermarkt.technology/portrait/medium/29692-1464085213.jpg?lm=1,2018,Poland
Lukasz Fabianski,4.15,2018.15,4.1,0,https://img.a.transfermarkt.technology/portrait/medium/29692-1464085213.jpg?lm=1,2018,Poland
Lukasz Fabianski,4.2,2018.2,4.15,0,https://img.a.transfermarkt.technology/portrait/medium/29692-1464085213.jpg?lm=1,2018,Poland
Lukasz Fabianski,4.25,2018.25,4.2,0,https://img.a.transfermarkt.technology/portrait/medium/29692-1464085213.jpg?lm=1,2018,Poland
Lukasz Fabianski,4.3,2018.3,4.25,0,https://img.a.transfermarkt.technology/portrait/medium/29692-1464085213.jpg?lm=1,2018,Poland
Lukasz Fabianski,4.35,2018.35,4.3,0,https://img.a.transfermarkt.technology/portrait/medium/29692-1464085213.jpg?lm=1,2018,Poland
Lukasz Fabianski,4.4,2018.4,4.35,0,https://img.a.transfermarkt.technology/portrait/medium/29692-1464085213.jpg?lm=1,2018,Poland
Lukasz Fabianski,4.45,2018.45,4.4,0,https://img.a.transfermarkt.technology/portrait/medium/29692-1464085213.jpg?lm=1,2018,Poland
Lukasz Fabianski,4.5,2018.5,4.45,0,https://img.a.transfermarkt.technology/portrait/medium/29692-1464085213.jpg?lm=1,2018,Poland
Lukasz Fabianski,4.55,2018.55,4.5,0,https://img.a.transfermarkt.technology/portrait/medium/29692-1464085213.jpg?lm=1,2018,Poland
Lukasz Fabianski,4.6,2018.6,4.55,0,https://img.a.transfermarkt.technology/portrait/medium/29692-1464085213.jpg?lm=1,2018,Poland
Lukasz Fabianski,4.65,2018.65,4.6,0,https://img.a.transfermarkt.technology/portrait/medium/29692-1464085213.jpg?lm=1,2018,Poland
Lukasz Fabianski,4.7,2018.7,4.65,0,https://img.a.transfermarkt.technology/portrait/medium/29692-1464085213.jpg?lm=1,2018,Poland
Lukasz Fabianski,4.75,2018.75,4.7,0,https://img.a.transfermarkt.technology/portrait/medium/29692-1464085213.jpg?lm=1,2018,Poland
Lukasz Fabianski,4.8,2018.8,4.75,0,https://img.a.transfermarkt.technology/portrait/medium/29692-1464085213.jpg?lm=1,2018,Poland
Lukasz Fabianski,4.85,2018.85,4.8,0,https://img.a.transfermarkt.technology/portrait/medium/29692-1464085213.jpg?lm=1,2018,Poland
Lukasz Fabianski,4.9,2018.9,4.85,0,https://img.a.transfermarkt.technology/portrait/medium/29692-1464085213.jpg?lm=1,2018,Poland
Lukasz Fabianski,4.95,2018.95,4.9,0,https://img.a.transfermarkt.technology/portrait/medium/29692-1464085213.jpg?lm=1,2018,Poland
Lukasz Fabianski,5,2019,4.95,16,https://img.a.transfermarkt.technology/portrait/medium/29692-1464085213.jpg?lm=1,2018,Poland
Lukasz Fabianski,5.05,2019.05,5,0,https://img.a.transfermarkt.technology/portrait/medium/29692-1464085213.jpg?lm=1,2018,Poland
Lukasz Fabianski,5.1,2019.1,5.05,0,https://img.a.transfermarkt.technology/portrait/medium/29692-1464085213.jpg?lm=1,2018,Poland
Lukasz Fabianski,5.15,2019.15,5.1,0,https://img.a.transfermarkt.technology/portrait/medium/29692-1464085213.jpg?lm=1,2018,Poland
Lukasz Fabianski,5.2,2019.2,5.15,0,https://img.a.transfermarkt.technology/portrait/medium/29692-1464085213.jpg?lm=1,2018,Poland
Lukasz Fabianski,5.25,2019.25,5.2,0,https://img.a.transfermarkt.technology/portrait/medium/29692-1464085213.jpg?lm=1,2018,Poland
Lukasz Fabianski,5.3,2019.3,5.25,0,https://img.a.transfermarkt.technology/portrait/medium/29692-1464085213.jpg?lm=1,2018,Poland
Lukasz Fabianski,5.35,2019.35,5.3,0,https://img.a.transfermarkt.technology/portrait/medium/29692-1464085213.jpg?lm=1,2018,Poland
Lukasz Fabianski,5.4,2019.4,5.35,0,https://img.a.transfermarkt.technology/portrait/medium/29692-1464085213.jpg?lm=1,2018,Poland
Lukasz Fabianski,5.45,2019.45,5.4,0,https://img.a.transfermarkt.technology/portrait/medium/29692-1464085213.jpg?lm=1,2018,Poland
Lukasz Fabianski,5.5,2019.5,5.45,0,https://img.a.transfermarkt.technology/portrait/medium/29692-1464085213.jpg?lm=1,2018,Poland
Lukasz Fabianski,5.55,2019.55,5.5,0,https://img.a.transfermarkt.technology/portrait/medium/29692-1464085213.jpg?lm=1,2018,Poland
Lukasz Fabianski,5.6,2019.6,5.55,0,https://img.a.transfermarkt.technology/portrait/medium/29692-1464085213.jpg?lm=1,2018,Poland
Lukasz Fabianski,5.65,2019.65,5.6,0,https://img.a.transfermarkt.technology/portrait/medium/29692-1464085213.jpg?lm=1,2018,Poland
Lukasz Fabianski,5.7,2019.7,5.65,0,https://img.a.transfermarkt.technology/portrait/medium/29692-1464085213.jpg?lm=1,2018,Poland
Lukasz Fabianski,5.75,2019.75,5.7,0,https://img.a.transfermarkt.technology/portrait/medium/29692-1464085213.jpg?lm=1,2018,Poland
Lukasz Fabianski,5.8,2019.8,5.75,0,https://img.a.transfermarkt.technology/portrait/medium/29692-1464085213.jpg?lm=1,2018,Poland
Lukasz Fabianski,5.85,2019.85,5.8,0,https://img.a.transfermarkt.technology/portrait/medium/29692-1464085213.jpg?lm=1,2018,Poland
Lukasz Fabianski,5.9,2019.9,5.85,0,https://img.a.transfermarkt.technology/portrait/medium/29692-1464085213.jpg?lm=1,2018,Poland
Lukasz Fabianski,5.95,2019.95,5.9,0,https://img.a.transfermarkt.technology/portrait/medium/29692-1464085213.jpg?lm=1,2018,Poland
Lukasz Fabianski,6,2020,5.95,12,https://img.a.transfermarkt.technology/portrait/medium/29692-1464085213.jpg?lm=1,2018,Poland
Lukasz Fabianski,6.05,2020.05,6,0,https://img.a.transfermarkt.technology/portrait/medium/29692-1464085213.jpg?lm=1,2018,Poland
Lukasz Fabianski,6.1,2020.1,6.05,0,https://img.a.transfermarkt.technology/portrait/medium/29692-1464085213.jpg?lm=1,2018,Poland
Lukasz Fabianski,6.15,2020.15,6.1,0,https://img.a.transfermarkt.technology/portrait/medium/29692-1464085213.jpg?lm=1,2018,Poland
