name,value,year,lastValue,rank,image,largeDate,country
Manchester United,24.000,1993,24.000,1,https://tmssl.akamaized.net/images/wappen/head/985.png?lm=1457975903,1993,ManchesterUnited
Manchester United,25.350,1993.05,24.000,0,https://tmssl.akamaized.net/images/wappen/head/985.png?lm=1457975903,1993,ManchesterUnited
Manchester United,26.700,1993.1,25.350,0,https://tmssl.akamaized.net/images/wappen/head/985.png?lm=1457975903,1993,ManchesterUnited
Manchester United,28.050,1993.15,26.700,0,https://tmssl.akamaized.net/images/wappen/head/985.png?lm=1457975903,1993,ManchesterUnited
Manchester United,29.400,1993.2,28.050,0,https://tmssl.akamaized.net/images/wappen/head/985.png?lm=1457975903,1993,ManchesterUnited
Manchester United,30.750,1993.25,29.400,0,https://tmssl.akamaized.net/images/wappen/head/985.png?lm=1457975903,1993,ManchesterUnited
Manchester United,32.100,1993.3,30.750,0,https://tmssl.akamaized.net/images/wappen/head/985.png?lm=1457975903,1993,ManchesterUnited
Manchester United,33.450,1993.35,32.100,0,https://tmssl.akamaized.net/images/wappen/head/985.png?lm=1457975903,1993,ManchesterUnited
Manchester United,34.800,1993.4,33.450,0,https://tmssl.akamaized.net/images/wappen/head/985.png?lm=1457975903,1993,ManchesterUnited
Manchester United,36.150,1993.45,34.800,0,https://tmssl.akamaized.net/images/wappen/head/985.png?lm=1457975903,1993,ManchesterUnited
Manchester United,37.500,1993.5,36.150,0,https://tmssl.akamaized.net/images/wappen/head/985.png?lm=1457975903,1993,ManchesterUnited
Manchester United,38.850,1993.55,37.500,0,https://tmssl.akamaized.net/images/wappen/head/985.png?lm=1457975903,1993,ManchesterUnited
Manchester United,40.200,1993.6,38.850,0,https://tmssl.akamaized.net/images/wappen/head/985.png?lm=1457975903,1993,ManchesterUnited
Manchester United,41.550,1993.65,40.200,0,https://tmssl.akamaized.net/images/wappen/head/985.png?lm=1457975903,1993,ManchesterUnited
Manchester United,42.900,1993.7,41.550,0,https://tmssl.akamaized.net/images/wappen/head/985.png?lm=1457975903,1993,ManchesterUnited
Manchester United,44.250,1993.75,42.900,0,https://tmssl.akamaized.net/images/wappen/head/985.png?lm=1457975903,1993,ManchesterUnited
Manchester United,45.600,1993.8,44.250,0,https://tmssl.akamaized.net/images/wappen/head/985.png?lm=1457975903,1993,ManchesterUnited
