name,value,year,lastValue,rank,image,largeDate,country
Brazil,1.000,1958,1.000,4,https://img.a.transfermarkt.technology/portrait/medium/default.jpg?lm=1,1958,null
Brazil,1.050,1958.05,1.000,0,https://img.a.transfermarkt.technology/portrait/medium/default.jpg?lm=1,1958,null
Brazil,1.100,1958.1,1.050,0,https://img.a.transfermarkt.technology/portrait/medium/default.jpg?lm=1,1958,null
Brazil,1.150,1958.15,1.100,0,https://img.a.transfermarkt.technology/portrait/medium/default.jpg?lm=1,1958,null
Brazil,1.200,1958.2,1.150,0,https://img.a.transfermarkt.technology/portrait/medium/default.jpg?lm=1,1958,null
Brazil,1.250,1958.25,1.200,0,https://img.a.transfermarkt.technology/portrait/medium/default.jpg?lm=1,1958,null
Brazil,1.300,1958.3,1.250,0,https://img.a.transfermarkt.technology/portrait/medium/default.jpg?lm=1,1958,null
Brazil,1.350,1958.35,1.300,0,https://img.a.transfermarkt.technology/portrait/medium/default.jpg?lm=1,1958,null
Brazil,1.400,1958.4,1.350,0,https://img.a.transfermarkt.technology/portrait/medium/default.jpg?lm=1,1958,null
Brazil,1.450,1958.45,1.400,0,https://img.a.transfermarkt.technology/portrait/medium/default.jpg?lm=1,1958,null
Brazil,1.500,1958.5,1.450,0,https://img.a.transfermarkt.technology/portrait/medium/default.jpg?lm=1,1958,null
Brazil,1.550,1958.55,1.500,0,https://img.a.transfermarkt.technology/portrait/medium/default.jpg?lm=1,1958,null
Brazil,1.600,1958.6,1.550,0,https://img.a.transfermarkt.technology/portrait/medium/default.jpg?lm=1,1958,null
Brazil,1.650,1958.65,1.600,0,https://img.a.transfermarkt.technology/portrait/medium/default.jpg?lm=1,1958,null
Brazil,1.700,1958.7,1.650,0,https://img.a.transfermarkt.technology/portrait/medium/default.jpg?lm=1,1958,null
Brazil,1.750,1958.75,1.700,0,https://img.a.transfermarkt.technology/portrait/medium/default.jpg?lm=1,1958,null
Brazil,1.800,1958.8,1.750,0,https://img.a.transfermarkt.technology/portrait/medium/default.jpg?lm=1,1958,null
Brazil,1.850,1958.85,1.800,0,https://img.a.transfermarkt.technology/portrait/medium/default.jpg?lm=1,1958,null
Brazil,1.900,1958.9,1.850,0,https://img.a.transfermarkt.technology/portrait/medium/default.jpg?lm=1,1958,null
Brazil,1.950,1958.95,1.900,0,https://img.a.transfermarkt.technology/portrait/medium/default.jpg?lm=1,1958,null
Brazil,2.000,1962,1.950,3,https://img.a.transfermarkt.technology/portrait/medium/default.jpg?lm=1,1958,null
Brazil,2.000,1962.05,2.000,0,https://img.a.transfermarkt.technology/portrait/medium/default.jpg?lm=1,1958,null
Brazil,2.000,1962.1,2.000,0,https://img.a.transfermarkt.technology/portrait/medium/default.jpg?lm=1,1958,null
Brazil,2.000,1962.15,2.000,0,https://img.a.transfermarkt.technology/portrait/medium/default.jpg?lm=1,1958,null
Brazil,2.000,1962.2,2.000,0,https://img.a.transfermarkt.technology/portrait/medium/default.jpg?lm=1,1958,null
Brazil,2.000,1962.25,2.000,0,https://img.a.transfermarkt.technology/portrait/medium/default.jpg?lm=1,1958,null
Brazil,2.000,1962.3,2.000,0,https://img.a.transfermarkt.technology/portrait/medium/default.jpg?lm=1,1958,null
Brazil,2.000,1962.35,2.000,0,https://img.a.transfermarkt.technology/portrait/medium/default.jpg?lm=1,1958,null
Brazil,2.000,1962.4,2.000,0,https://img.a.transfermarkt.technology/portrait/medium/default.jpg?lm=1,1958,null
Brazil,2.000,1962.45,2.000,0,https://img.a.transfermarkt.technology/portrait/medium/default.jpg?lm=1,1958,null
Brazil,2.000,1962.5,2.000,0,https://img.a.transfermarkt.technology/portrait/medium/default.jpg?lm=1,1958,null
Brazil,2.000,1962.55,2.000,0,https://img.a.transfermarkt.technology/portrait/medium/default.jpg?lm=1,1958,null
Brazil,2.000,1962.6,2.000,0,https://img.a.transfermarkt.technology/portrait/medium/default.jpg?lm=1,1958,null
Brazil,2.000,1962.65,2.000,0,https://img.a.transfermarkt.technology/portrait/medium/default.jpg?lm=1,1958,null
Brazil,2.000,1962.7,2.000,0,https://img.a.transfermarkt.technology/portrait/medium/default.jpg?lm=1,1958,null
Brazil,2.000,1962.75,2.000,0,https://img.a.transfermarkt.technology/portrait/medium/default.jpg?lm=1,1958,null
Brazil,2.000,1962.8,2.000,0,https://img.a.transfermarkt.technology/portrait/medium/default.jpg?lm=1,1958,null
Brazil,2.000,1962.85,2.000,0,https://img.a.transfermarkt.technology/portrait/medium/default.jpg?lm=1,1958,null
Brazil,2.000,1962.9,2.000,0,https://img.a.transfermarkt.technology/portrait/medium/default.jpg?lm=1,1958,null
Brazil,2.000,1962.95,2.000,0,https://img.a.transfermarkt.technology/portrait/medium/default.jpg?lm=1,1958,null
Brazil,2.000,1966,2.000,3,https://img.a.transfermarkt.technology/portrait/medium/default.jpg?lm=1,1958,null
Brazil,2.050,1966.05,2.000,0,https://img.a.transfermarkt.technology/portrait/medium/default.jpg?lm=1,1958,null
Brazil,2.100,1966.1,2.050,0,https://img.a.transfermarkt.technology/portrait/medium/default.jpg?lm=1,1958,null
Brazil,2.150,1966.15,2.100,0,https://img.a.transfermarkt.technology/portrait/medium/default.jpg?lm=1,1958,null
Brazil,2.200,1966.2,2.150,0,https://img.a.transfermarkt.technology/portrait/medium/default.jpg?lm=1,1958,null
