name,value,year,lastValue,rank,image,largeDate,country
Seth Curry,0.475,2022,0.475,1,https://www.basketball-reference.com/req/202102031/images/players/curryse01.jpg,2022,US
Seth Curry,0.475,2022.05,0.475,0,https://www.basketball-reference.com/req/202102031/images/players/curryse01.jpg,2022.05,US
Seth Curry,0.474,2022.1,0.475,0,https://www.basketball-reference.com/req/202102031/images/players/curryse01.jpg,2022.1,US
Seth Curry,0.474,2022.15,0.474,0,https://www.basketball-reference.com/req/202102031/images/players/curryse01.jpg,2022.15,US
Seth Curry,0.474,2022.2,0.474,0,https://www.basketball-reference.com/req/202102031/images/players/curryse01.jpg,2022.2,US
Seth Curry,0.473,2022.25,0.474,0,https://www.basketball-reference.com/req/202102031/images/players/curryse01.jpg,2022.25,US
Seth Curry,0.473,2022.3,0.473,0,https://www.basketball-reference.com/req/202102031/images/players/curryse01.jpg,2022.3,US
Seth Curry,0.473,2022.35,0.473,0,https://www.basketball-reference.com/req/202102031/images/players/curryse01.jpg,2022.35,US
Seth Curry,0.472,2022.4,0.473,0,https://www.basketball-reference.com/req/202102031/images/players/curryse01.jpg,2022.4,US
Seth Curry,0.472,2022.45,0.472,0,https://www.basketball-reference.com/req/202102031/images/players/curryse01.jpg,2022.45,US
Seth Curry,0.471,2022.5,0.472,0,https://www.basketball-reference.com/req/202102031/images/players/curryse01.jpg,2022.5,US
Seth Curry,0.471,2022.55,0.471,0,https://www.basketball-reference.com/req/202102031/images/players/curryse01.jpg,2022.55,US
Seth Curry,0.471,2022.6,0.471,0,https://www.basketball-reference.com/req/202102031/images/players/curryse01.jpg,2022.6,US
Seth Curry,0.470,2022.65,0.471,0,https://www.basketball-reference.com/req/202102031/images/players/curryse01.jpg,2022.65,US
Seth Curry,0.470,2022.7,0.470,0,https://www.basketball-reference.com/req/202102031/images/players/curryse01.jpg,2022.7,US
Seth Curry,0.470,2022.75,0.470,0,https://www.basketball-reference.com/req/202102031/images/players/curryse01.jpg,2022.75,US
Seth Curry,0.469,2022.8,0.470,0,https://www.basketball-reference.com/req/202102031/images/players/curryse01.jpg,2022.8,US
Seth Curry,0.469,2022.85,0.469,0,https://www.basketball-reference.com/req/202102031/images/players/curryse01.jpg,2022.85,US
Seth Curry,0.469,2022.9,0.469,0,https://www.basketball-reference.com/req/202102031/images/players/curryse01.jpg,2022.9,US
Seth Curry,0.468,2022.95,0.469,0,https://www.basketball-reference.com/req/202102031/images/players/curryse01.jpg,2022.95,US
Seth Curry,0.468,2023,0.468,1,https://www.basketball-reference.com/req/202102031/images/players/curryse01.jpg,2023,US
Raja Bell,0.440,2006,0.440,4,https://www.basketball-reference.com/req/202102031/images/players/bellra01.jpg,2006,VI
Raja Bell,0.440,2006.05,0.440,0,https://www.basketball-reference.com/req/202102031/images/players/bellra01.jpg,2006,VI
Raja Bell,0.440,2006.1,0.440,0,https://www.basketball-reference.com/req/202102031/images/players/bellra01.jpg,2006,VI
Raja Bell,0.440,2006.15,0.440,0,https://www.basketball-reference.com/req/202102031/images/players/bellra01.jpg,2006,VI
Raja Bell,0.440,2006.2,0.440,0,https://www.basketball-reference.com/req/202102031/images/players/bellra01.jpg,2006,VI
Raja Bell,0.440,2006.25,0.440,0,https://www.basketball-reference.com/req/202102031/images/players/bellra01.jpg,2006,VI
Raja Bell,0.441,2006.3,0.440,0,https://www.basketball-reference.com/req/202102031/images/players/bellra01.jpg,2006,VI
Raja Bell,0.441,2006.35,0.441,0,https://www.basketball-reference.com/req/202102031/images/players/bellra01.jpg,2006,VI
Raja Bell,0.441,2006.4,0.441,0,https://www.basketball-reference.com/req/202102031/images/players/bellra01.jpg,2006,VI
Raja Bell,0.441,2006.45,0.441,0,https://www.basketball-reference.com/req/202102031/images/players/bellra01.jpg,2006,VI
Raja Bell,0.441,2006.5,0.441,0,https://www.basketball-reference.com/req/202102031/images/players/bellra01.jpg,2006,VI
Raja Bell,0.441,2006.55,0.441,0,https://www.basketball-reference.com/req/202102031/images/players/bellra01.jpg,2006,VI
Raja Bell,0.441,2006.6,0.441,0,https://www.basketball-reference.com/req/202102031/images/players/bellra01.jpg,2006,VI
Raja Bell,0.441,2006.65,0.441,0,https://www.basketball-reference.com/req/202102031/images/players/bellra01.jpg,2006,VI
Raja Bell,0.441,2006.7,0.441,0,https://www.basketball-reference.com/req/202102031/images/players/bellra01.jpg,2006,VI
Raja Bell,0.441,2006.75,0.441,0,https://www.basketball-reference.com/req/202102031/images/players/bellra01.jpg,2006,VI
Raja Bell,0.442,2006.8,0.441,0,https://www.basketball-reference.com/req/202102031/images/players/bellra01.jpg,2006,VI
Raja Bell,0.442,2006.85,0.442,0,https://www.basketball-reference.com/req/202102031/images/players/bellra01.jpg,2006,VI
Raja Bell,0.442,2006.9,0.442,0,https://www.basketball-reference.com/req/202102031/images/players/bellra01.jpg,2006,VI
Raja Bell,0.442,2006.95,0.442,0,https://www.basketball-reference.com/req/202102031/images/players/bellra01.jpg,2006,VI
Raja Bell,0.442,2007,0.442,3,https://www.basketball-reference.com/req/202102031/images/players/bellra01.jpg,2006,VI
Raja Bell,0.443,2007.05,0.442,0,https://www.basketball-reference.com/req/202102031/images/players/bellra01.jpg,2006,VI
Raja Bell,0.444,2007.1,0.443,0,https://www.basketball-reference.com/req/202102031/images/players/bellra01.jpg,2006,VI
Raja Bell,0.446,2007.15,0.444,0,https://www.basketball-reference.com/req/202102031/images/players/bellra01.jpg,2006,VI
Raja Bell,0.447,2007.2,0.446,0,https://www.basketball-reference.com/req/202102031/images/players/bellra01.jpg,2006,VI
Raja Bell,0.448,2007.25,0.447,0,https://www.basketball-reference.com/req/202102031/images/players/bellra01.jpg,2006,VI
Raja Bell,0.449,2007.3,0.448,0,https://www.basketball-reference.com/req/202102031/images/players/bellra01.jpg,2006,VI
Raja Bell,0.450,2007.35,0.449,0,https://www.basketball-reference.com/req/202102031/images/players/bellra01.jpg,2006,VI
Raja Bell,0.452,2007.4,0.450,0,https://www.basketball-reference.com/req/202102031/images/players/bellra01.jpg,2006,VI
Raja Bell,0.453,2007.45,0.452,0,https://www.basketball-reference.com/req/202102031/images/players/bellra01.jpg,2006,VI
Raja Bell,0.454,2007.5,0.453,0,https://www.basketball-reference.com/req/202102031/images/players/bellra01.jpg,2006,VI
Raja Bell,0.455,2007.55,0.454,0,https://www.basketball-reference.com/req/202102031/images/players/bellra01.jpg,2006,VI
Raja Bell,0.456,2007.6,0.455,0,https://www.basketball-reference.com/req/202102031/images/players/bellra01.jpg,2006,VI
Raja Bell,0.458,2007.65,0.456,0,https://www.basketball-reference.com/req/202102031/images/players/bellra01.jpg,2006,VI
Raja Bell,0.459,2007.7,0.458,0,https://www.basketball-reference.com/req/202102031/images/players/bellra01.jpg,2006,VI
Raja Bell,0.460,2007.75,0.459,0,https://www.basketball-reference.com/req/202102031/images/players/bellra01.jpg,2006,VI
Raja Bell,0.461,2007.8,0.460,0,https://www.basketball-reference.com/req/202102031/images/players/bellra01.jpg,2006,VI
Raja Bell,0.462,2007.85,0.461,0,https://www.basketball-reference.com/req/202102031/images/players/bellra01.jpg,2006,VI
Raja Bell,0.464,2007.9,0.462,0,https://www.basketball-reference.com/req/202102031/images/players/bellra01.jpg,2006,VI
Raja Bell,0.465,2007.95,0.464,0,https://www.basketball-reference.com/req/202102031/images/players/bellra01.jpg,2006,VI
Raja Bell,0.466,2008,0.465,1,https://www.basketball-reference.com/req/202102031/images/players/bellra01.jpg,2006,VI
Raja Bell,0.466,2008.05,0.466,0,https://www.basketball-reference.com/req/202102031/images/players/bellra01.jpg,2006,VI
Raja Bell,0.466,2008.1,0.466,0,https://www.basketball-reference.com/req/202102031/images/players/bellra01.jpg,2006,VI
Raja Bell,0.466,2008.15,0.466,0,https://www.basketball-reference.com/req/202102031/images/players/bellra01.jpg,2006,VI
Raja Bell,0.466,2008.2,0.466,0,https://www.basketball-reference.com/req/202102031/images/players/bellra01.jpg,2006,VI
Raja Bell,0.466,2008.25,0.466,0,https://www.basketball-reference.com/req/202102031/images/players/bellra01.jpg,2006,VI
Raja Bell,0.466,2008.3,0.466,0,https://www.basketball-reference.com/req/202102031/images/players/bellra01.jpg,2006,VI
Raja Bell,0.466,2008.35,0.466,0,https://www.basketball-reference.com/req/202102031/images/players/bellra01.jpg,2006,VI
Raja Bell,0.466,2008.4,0.466,0,https://www.basketball-reference.com/req/202102031/images/players/bellra01.jpg,2006,VI
Raja Bell,0.466,2008.45,0.466,0,https://www.basketball-reference.com/req/202102031/images/players/bellra01.jpg,2006,VI
Raja Bell,0.466,2008.5,0.466,0,https://www.basketball-reference.com/req/202102031/images/players/bellra01.jpg,2006,VI
Raja Bell,0.466,2008.55,0.466,0,https://www.basketball-reference.com/req/202102031/images/players/bellra01.jpg,2006,VI
Raja Bell,0.466,2008.6,0.466,0,https://www.basketball-reference.com/req/202102031/images/players/bellra01.jpg,2006,VI
Raja Bell,0.466,2008.65,0.466,0,https://www.basketball-reference.com/req/202102031/images/players/bellra01.jpg,2006,VI
Raja Bell,0.466,2008.7,0.466,0,https://www.basketball-reference.com/req/202102031/images/players/bellra01.jpg,2006,VI
Raja Bell,0.466,2008.75,0.466,0,https://www.basketball-reference.com/req/202102031/images/players/bellra01.jpg,2006,VI
Raja Bell,0.466,2008.8,0.466,0,https://www.basketball-reference.com/req/202102031/images/players/bellra01.jpg,2006,VI
