name,value,year,lastValue,rank,image,largeDate,country
Stephen Curry,242.000,2016,242.000,10,https://www.basketball-reference.com/req/202102031/images/players/curryst01.jpg,,US
Stephen Curry,245.600,2016.05,242.000,0,https://www.basketball-reference.com/req/202102031/images/players/curryst01.jpg,,US
Stephen Curry,249.200,2016.1,245.600,0,https://www.basketball-reference.com/req/202102031/images/players/curryst01.jpg,,US
Stephen Curry,252.800,2016.15,249.200,0,https://www.basketball-reference.com/req/202102031/images/players/curryst01.jpg,,US
Stephen Curry,256.400,2016.2,252.800,0,https://www.basketball-reference.com/req/202102031/images/players/curryst01.jpg,,US
Stephen Curry,260.000,2016.25,256.400,0,https://www.basketball-reference.com/req/202102031/images/players/curryst01.jpg,,US
Stephen Curry,263.600,2016.3,260.000,0,https://www.basketball-reference.com/req/202102031/images/players/curryst01.jpg,,US
Stephen Curry,267.200,2016.35,263.600,0,https://www.basketball-reference.com/req/202102031/images/players/curryst01.jpg,,US
Stephen Curry,270.800,2016.4,267.200,0,https://www.basketball-reference.com/req/202102031/images/players/curryst01.jpg,,US
Stephen Curry,274.400,2016.45,270.800,0,https://www.basketball-reference.com/req/202102031/images/players/curryst01.jpg,,US
Stephen Curry,278.000,2016.5,274.400,0,https://www.basketball-reference.com/req/202102031/images/players/curryst01.jpg,,US
Stephen Curry,281.600,2016.55,278.000,0,https://www.basketball-reference.com/req/202102031/images/players/curryst01.jpg,,US
Stephen Curry,285.200,2016.6,281.600,0,https://www.basketball-reference.com/req/202102031/images/players/curryst01.jpg,,US
Stephen Curry,288.800,2016.65,285.200,0,https://www.basketball-reference.com/req/202102031/images/players/curryst01.jpg,,US
Stephen Curry,292.400,2016.7,288.800,0,https://www.basketball-reference.com/req/202102031/images/players/curryst01.jpg,,US
Stephen Curry,296.000,2016.75,292.400,0,https://www.basketball-reference.com/req/202102031/images/players/curryst01.jpg,,US
Stephen Curry,299.600,2016.8,296.000,0,https://www.basketball-reference.com/req/202102031/images/players/curryst01.jpg,,US
Stephen Curry,303.200,2016.85,299.600,0,https://www.basketball-reference.com/req/202102031/images/players/curryst01.jpg,,US
Stephen Curry,306.800,2016.9,303.200,0,https://www.basketball-reference.com/req/202102031/images/players/curryst01.jpg,,US
Stephen Curry,310.400,2016.95,306.800,0,https://www.basketball-reference.com/req/202102031/images/players/curryst01.jpg,,US
Stephen Curry,314.000,2017,310.400,5,https://www.basketball-reference.com/req/202102031/images/players/curryst01.jpg,,US
Stephen Curry,317.200,2017.05,314.000,0,https://www.basketball-reference.com/req/202102031/images/players/curryst01.jpg,,US
Stephen Curry,320.400,2017.1,317.200,0,https://www.basketball-reference.com/req/202102031/images/players/curryst01.jpg,,US
Stephen Curry,323.600,2017.15,320.400,0,https://www.basketball-reference.com/req/202102031/images/players/curryst01.jpg,,US
