name,value,year,lastValue,rank,image,largeDate,country
Steve Kerr,0.467,1995,0.467,1,https://www.basketball-reference.com/req/202102031/images/players/kerrst01.jpg,1995,LB
Steve Kerr,0.468,1995.05,0.467,0,https://www.basketball-reference.com/req/202102031/images/players/kerrst01.jpg,1995,LB
Steve Kerr,0.468,1995.1,0.468,0,https://www.basketball-reference.com/req/202102031/images/players/kerrst01.jpg,1995,LB
Steve Kerr,0.469,1995.15,0.468,0,https://www.basketball-reference.com/req/202102031/images/players/kerrst01.jpg,1995,LB
Steve Kerr,0.47,1995.2,0.469,0,https://www.basketball-reference.com/req/202102031/images/players/kerrst01.jpg,1995,LB
Steve Kerr,0.47,1995.25,0.47,0,https://www.basketball-reference.com/req/202102031/images/players/kerrst01.jpg,1995,LB
Steve Kerr,0.471,1995.3,0.47,0,https://www.basketball-reference.com/req/202102031/images/players/kerrst01.jpg,1995,LB
Steve Kerr,0.472,1995.35,0.471,0,https://www.basketball-reference.com/req/202102031/images/players/kerrst01.jpg,1995,LB
Steve Kerr,0.472,1995.4,0.472,0,https://www.basketball-reference.com/req/202102031/images/players/kerrst01.jpg,1995,LB
Steve Kerr,0.473,1995.45,0.472,0,https://www.basketball-reference.com/req/202102031/images/players/kerrst01.jpg,1995,LB
Steve Kerr,0.474,1995.5,0.473,0,https://www.basketball-reference.com/req/202102031/images/players/kerrst01.jpg,1995,LB
Steve Kerr,0.474,1995.55,0.474,0,https://www.basketball-reference.com/req/202102031/images/players/kerrst01.jpg,1995,LB
Steve Kerr,0.475,1995.6,0.474,0,https://www.basketball-reference.com/req/202102031/images/players/kerrst01.jpg,1995,LB
Steve Kerr,0.475,1995.65,0.475,0,https://www.basketball-reference.com/req/202102031/images/players/kerrst01.jpg,1995,LB
Steve Kerr,0.476,1995.7,0.475,0,https://www.basketball-reference.com/req/202102031/images/players/kerrst01.jpg,1995,LB
Steve Kerr,0.477,1995.75,0.476,0,https://www.basketball-reference.com/req/202102031/images/players/kerrst01.jpg,1995,LB
Steve Kerr,0.477,1995.8,0.477,0,https://www.basketball-reference.com/req/202102031/images/players/kerrst01.jpg,1995,LB
Steve Kerr,0.478,1995.85,0.477,0,https://www.basketball-reference.com/req/202102031/images/players/kerrst01.jpg,1995,LB
Steve Kerr,0.479,1995.9,0.478,0,https://www.basketball-reference.com/req/202102031/images/players/kerrst01.jpg,1995,LB
Steve Kerr,0.479,1995.95,0.479,0,https://www.basketball-reference.com/req/202102031/images/players/kerrst01.jpg,1995,LB
Steve Kerr,0.48,1996,0.479,1,https://www.basketball-reference.com/req/202102031/images/players/kerrst01.jpg,1995,LB
Steve Kerr,0.48,1996.05,0.48,0,https://www.basketball-reference.com/req/202102031/images/players/kerrst01.jpg,1995,LB
Steve Kerr,0.48,1996.1,0.48,0,https://www.basketball-reference.com/req/202102031/images/players/kerrst01.jpg,1995,LB
Steve Kerr,0.48,1996.15,0.48,0,https://www.basketball-reference.com/req/202102031/images/players/kerrst01.jpg,1995,LB
Steve Kerr,0.479,1996.2,0.48,0,https://www.basketball-reference.com/req/202102031/images/players/kerrst01.jpg,1995,LB
Steve Kerr,0.479,1996.25,0.479,0,https://www.basketball-reference.com/req/202102031/images/players/kerrst01.jpg,1995,LB
Steve Kerr,0.479,1996.3,0.479,0,https://www.basketball-reference.com/req/202102031/images/players/kerrst01.jpg,1995,LB
Steve Kerr,0.479,1996.35,0.479,0,https://www.basketball-reference.com/req/202102031/images/players/kerrst01.jpg,1995,LB
Steve Kerr,0.479,1996.4,0.479,0,https://www.basketball-reference.com/req/202102031/images/players/kerrst01.jpg,1995,LB
Steve Kerr,0.479,1996.45,0.479,0,https://www.basketball-reference.com/req/202102031/images/players/kerrst01.jpg,1995,LB
Steve Kerr,0.479,1996.5,0.479,0,https://www.basketball-reference.com/req/202102031/images/players/kerrst01.jpg,1995,LB
Steve Kerr,0.478,1996.55,0.479,0,https://www.basketball-reference.com/req/202102031/images/players/kerrst01.jpg,1995,LB
Steve Kerr,0.478,1996.6,0.478,0,https://www.basketball-reference.com/req/202102031/images/players/kerrst01.jpg,1995,LB
Steve Kerr,0.478,1996.65,0.478,0,https://www.basketball-reference.com/req/202102031/images/players/kerrst01.jpg,1995,LB
Steve Kerr,0.478,1996.7,0.478,0,https://www.basketball-reference.com/req/202102031/images/players/kerrst01.jpg,1995,LB
Steve Kerr,0.478,1996.75,0.478,0,https://www.basketball-reference.com/req/202102031/images/players/kerrst01.jpg,1995,LB
Steve Kerr,0.478,1996.8,0.478,0,https://www.basketball-reference.com/req/202102031/images/players/kerrst01.jpg,1995,LB
Steve Kerr,0.477,1996.85,0.478,0,https://www.basketball-reference.com/req/202102031/images/players/kerrst01.jpg,1995,LB
Steve Kerr,0.477,1996.9,0.477,0,https://www.basketball-reference.com/req/202102031/images/players/kerrst01.jpg,1995,LB
Steve Kerr,0.477,1996.95,0.477,0,https://www.basketball-reference.com/req/202102031/images/players/kerrst01.jpg,1995,LB
Steve Kerr,0.477,1997,0.477,1,https://www.basketball-reference.com/req/202102031/images/players/kerrst01.jpg,1995,LB
Steve Kerr,0.477,1997.05,0.477,0,https://www.basketball-reference.com/req/202102031/images/players/kerrst01.jpg,1995,LB
Steve Kerr,0.477,1997.1,0.477,0,https://www.basketball-reference.com/req/202102031/images/players/kerrst01.jpg,1995,LB
Steve Kerr,0.476,1997.15,0.477,0,https://www.basketball-reference.com/req/202102031/images/players/kerrst01.jpg,1995,LB
Steve Kerr,0.476,1997.2,0.476,0,https://www.basketball-reference.com/req/202102031/images/players/kerrst01.jpg,1995,LB
Steve Kerr,0.476,1997.25,0.476,0,https://www.basketball-reference.com/req/202102031/images/players/kerrst01.jpg,1995,LB
Steve Kerr,0.476,1997.3,0.476,0,https://www.basketball-reference.com/req/202102031/images/players/kerrst01.jpg,1995,LB
Steve Kerr,0.476,1997.35,0.476,0,https://www.basketball-reference.com/req/202102031/images/players/kerrst01.jpg,1995,LB
Steve Kerr,0.475,1997.4,0.476,0,https://www.basketball-reference.com/req/202102031/images/players/kerrst01.jpg,1995,LB
Steve Kerr,0.475,1997.45,0.475,0,https://www.basketball-reference.com/req/202102031/images/players/kerrst01.jpg,1995,LB
Steve Kerr,0.475,1997.5,0.475,0,https://www.basketball-reference.com/req/202102031/images/players/kerrst01.jpg,1995,LB
Steve Kerr,0.475,1997.55,0.475,0,https://www.basketball-reference.com/req/202102031/images/players/kerrst01.jpg,1995,LB
Steve Kerr,0.475,1997.6,0.475,0,https://www.basketball-reference.com/req/202102031/images/players/kerrst01.jpg,1995,LB
Steve Kerr,0.474,1997.65,0.475,0,https://www.basketball-reference.com/req/202102031/images/players/kerrst01.jpg,1995,LB
Steve Kerr,0.474,1997.7,0.474,0,https://www.basketball-reference.com/req/202102031/images/players/kerrst01.jpg,1995,LB
Steve Kerr,0.474,1997.75,0.474,0,https://www.basketball-reference.com/req/202102031/images/players/kerrst01.jpg,1995,LB
Steve Kerr,0.474,1997.8,0.474,0,https://www.basketball-reference.com/req/202102031/images/players/kerrst01.jpg,1995,LB
Steve Kerr,0.474,1997.85,0.474,0,https://www.basketball-reference.com/req/202102031/images/players/kerrst01.jpg,1995,LB
Steve Kerr,0.473,1997.9,0.474,0,https://www.basketball-reference.com/req/202102031/images/players/kerrst01.jpg,1995,LB
Steve Kerr,0.473,1997.95,0.473,0,https://www.basketball-reference.com/req/202102031/images/players/kerrst01.jpg,1995,LB
Steve Kerr,0.473,1998,0.473,1,https://www.basketball-reference.com/req/202102031/images/players/kerrst01.jpg,1995,LB
Steve Kerr,0.473,1998.05,0.473,0,https://www.basketball-reference.com/req/202102031/images/players/kerrst01.jpg,1995,LB
Steve Kerr,0.472,1998.1,0.473,0,https://www.basketball-reference.com/req/202102031/images/players/kerrst01.jpg,1995,LB
Steve Kerr,0.472,1998.15,0.472,0,https://www.basketball-reference.com/req/202102031/images/players/kerrst01.jpg,1995,LB
Steve Kerr,0.471,1998.2,0.472,0,https://www.basketball-reference.com/req/202102031/images/players/kerrst01.jpg,1995,LB
Steve Kerr,0.471,1998.25,0.471,0,https://www.basketball-reference.com/req/202102031/images/players/kerrst01.jpg,1995,LB
Steve Kerr,0.47,1998.3,0.471,0,https://www.basketball-reference.com/req/202102031/images/players/kerrst01.jpg,1995,LB
Steve Kerr,0.47,1998.35,0.47,0,https://www.basketball-reference.com/req/202102031/images/players/kerrst01.jpg,1995,LB
Steve Kerr,0.469,1998.4,0.47,0,https://www.basketball-reference.com/req/202102031/images/players/kerrst01.jpg,1995,LB
Steve Kerr,0.468,1998.45,0.469,0,https://www.basketball-reference.com/req/202102031/images/players/kerrst01.jpg,1995,LB
Steve Kerr,0.468,1998.5,0.468,0,https://www.basketball-reference.com/req/202102031/images/players/kerrst01.jpg,1995,LB
Steve Kerr,0.468,1998.55,0.468,0,https://www.basketball-reference.com/req/202102031/images/players/kerrst01.jpg,1995,LB
Steve Kerr,0.467,1998.6,0.468,0,https://www.basketball-reference.com/req/202102031/images/players/kerrst01.jpg,1998.6,LB
Steve Kerr,0.467,1998.65,0.467,0,https://www.basketball-reference.com/req/202102031/images/players/kerrst01.jpg,1998.65,LB
Steve Kerr,0.466,1998.7,0.467,0,https://www.basketball-reference.com/req/202102031/images/players/kerrst01.jpg,1998.7,LB
Steve Kerr,0.466,1998.75,0.466,0,https://www.basketball-reference.com/req/202102031/images/players/kerrst01.jpg,1998.75,LB
Steve Kerr,0.465,1998.8,0.466,0,https://www.basketball-reference.com/req/202102031/images/players/kerrst01.jpg,1998.8,LB
Steve Kerr,0.465,1998.85,0.465,0,https://www.basketball-reference.com/req/202102031/images/players/kerrst01.jpg,1998.85,LB
Steve Kerr,0.464,1998.9,0.465,0,https://www.basketball-reference.com/req/202102031/images/players/kerrst01.jpg,1998.9,LB
Steve Kerr,0.464,1998.95,0.464,0,https://www.basketball-reference.com/req/202102031/images/players/kerrst01.jpg,1998.95,LB
Steve Kerr,0.463,1999,0.464,1,https://www.basketball-reference.com/req/202102031/images/players/kerrst01.jpg,1999,LB
Steve Kerr,0.463,1999.05,0.463,0,https://www.basketball-reference.com/req/202102031/images/players/kerrst01.jpg,1999,LB
Steve Kerr,0.463,1999.1,0.463,0,https://www.basketball-reference.com/req/202102031/images/players/kerrst01.jpg,1999,LB
Steve Kerr,0.463,1999.15,0.463,0,https://www.basketball-reference.com/req/202102031/images/players/kerrst01.jpg,1999,LB
Steve Kerr,0.463,1999.2,0.463,0,https://www.basketball-reference.com/req/202102031/images/players/kerrst01.jpg,1999,LB
