name,value,year,lastValue,rank,image,largeDate,country
Dwight Howard,630,2007,376,21,https://www.basketball-reference.com/req/202102031/images/players/howardw01.jpg,,US
Dwight Howard,643.45,2007.05,630,0,https://www.basketball-reference.com/req/202102031/images/players/howardw01.jpg,,US
Dwight Howard,656.9,2007.1,643.45,0,https://www.basketball-reference.com/req/202102031/images/players/howardw01.jpg,,US
Dwight Howard,670.35,2007.15,656.9,0,https://www.basketball-reference.com/req/202102031/images/players/howardw01.jpg,,US
Dwight Howard,683.8,2007.2,670.35,0,https://www.basketball-reference.com/req/202102031/images/players/howardw01.jpg,,US
Dwight Howard,697.25,2007.25,683.8,0,https://www.basketball-reference.com/req/202102031/images/players/howardw01.jpg,,US
Dwight Howard,710.7,2007.3,697.25,0,https://www.basketball-reference.com/req/202102031/images/players/howardw01.jpg,,US
Dwight Howard,724.15,2007.35,710.7,0,https://www.basketball-reference.com/req/202102031/images/players/howardw01.jpg,,US
Dwight Howard,737.6,2007.4,724.15,0,https://www.basketball-reference.com/req/202102031/images/players/howardw01.jpg,,US
Dwight Howard,751.05,2007.45,737.6,0,https://www.basketball-reference.com/req/202102031/images/players/howardw01.jpg,,US
Dwight Howard,764.5,2007.5,751.05,0,https://www.basketball-reference.com/req/202102031/images/players/howardw01.jpg,,US
Dwight Howard,777.95,2007.55,764.5,0,https://www.basketball-reference.com/req/202102031/images/players/howardw01.jpg,,US
Dwight Howard,791.4,2007.6,777.95,0,https://www.basketball-reference.com/req/202102031/images/players/howardw01.jpg,,US
Dwight Howard,804.85,2007.65,791.4,0,https://www.basketball-reference.com/req/202102031/images/players/howardw01.jpg,,US
Dwight Howard,818.3,2007.7,804.85,0,https://www.basketball-reference.com/req/202102031/images/players/howardw01.jpg,,US
Dwight Howard,831.75,2007.75,818.3,0,https://www.basketball-reference.com/req/202102031/images/players/howardw01.jpg,,US
Dwight Howard,845.2,2007.8,831.75,0,https://www.basketball-reference.com/req/202102031/images/players/howardw01.jpg,,US
Dwight Howard,858.65,2007.85,845.2,0,https://www.basketball-reference.com/req/202102031/images/players/howardw01.jpg,,US
Dwight Howard,872.1,2007.9,858.65,0,https://www.basketball-reference.com/req/202102031/images/players/howardw01.jpg,,US
Dwight Howard,885.55,2007.95,872.1,0,https://www.basketball-reference.com/req/202102031/images/players/howardw01.jpg,,US
Dwight Howard,899,2008,885.55,10,https://www.basketball-reference.com/req/202102031/images/players/howardw01.jpg,,US
Dwight Howard,909.1,2008.05,899,0,https://www.basketball-reference.com/req/202102031/images/players/howardw01.jpg,,US
Dwight Howard,919.2,2008.1,909.1,0,https://www.basketball-reference.com/req/202102031/images/players/howardw01.jpg,,US
Dwight Howard,929.3,2008.15,919.2,0,https://www.basketball-reference.com/req/202102031/images/players/howardw01.jpg,,US
Dwight Howard,939.4,2008.2,929.3,0,https://www.basketball-reference.com/req/202102031/images/players/howardw01.jpg,,US
Dwight Howard,949.5,2008.25,939.4,0,https://www.basketball-reference.com/req/202102031/images/players/howardw01.jpg,,US
Dwight Howard,959.6,2008.3,949.5,0,https://www.basketball-reference.com/req/202102031/images/players/howardw01.jpg,,US
Dwight Howard,969.7,2008.35,959.6,0,https://www.basketball-reference.com/req/202102031/images/players/howardw01.jpg,,US
Dwight Howard,979.8,2008.4,969.7,0,https://www.basketball-reference.com/req/202102031/images/players/howardw01.jpg,,US
Dwight Howard,989.9,2008.45,979.8,0,https://www.basketball-reference.com/req/202102031/images/players/howardw01.jpg,,US
Dwight Howard,1000,2008.5,989.9,0,https://www.basketball-reference.com/req/202102031/images/players/howardw01.jpg,,US
Dwight Howard,1010.1,2008.55,1000,0,https://www.basketball-reference.com/req/202102031/images/players/howardw01.jpg,,US
Dwight Howard,1020.2,2008.6,1010.1,0,https://www.basketball-reference.com/req/202102031/images/players/howardw01.jpg,,US
Dwight Howard,1030.3,2008.65,1020.2,0,https://www.basketball-reference.com/req/202102031/images/players/howardw01.jpg,,US
Dwight Howard,1040.4,2008.7,1030.3,0,https://www.basketball-reference.com/req/202102031/images/players/howardw01.jpg,,US
Dwight Howard,1050.5,2008.75,1040.4,0,https://www.basketball-reference.com/req/202102031/images/players/howardw01.jpg,,US
Dwight Howard,1060.6,2008.8,1050.5,0,https://www.basketball-reference.com/req/202102031/images/players/howardw01.jpg,,US
Dwight Howard,1070.7,2008.85,1060.6,0,https://www.basketball-reference.com/req/202102031/images/players/howardw01.jpg,,US
Dwight Howard,1080.8,2008.9,1070.7,0,https://www.basketball-reference.com/req/202102031/images/players/howardw01.jpg,,US
Dwight Howard,1090.9,2008.95,1080.8,0,https://www.basketball-reference.com/req/202102031/images/players/howardw01.jpg,,US
Dwight Howard,1101,2009,1090.9,4,https://www.basketball-reference.com/req/202102031/images/players/howardw01.jpg,,US
Dwight Howard,1110.85,2009.05,1101,0,https://www.basketball-reference.com/req/202102031/images/players/howardw01.jpg,,US
Dwight Howard,1120.7,2009.1,1110.85,0,https://www.basketball-reference.com/req/202102031/images/players/howardw01.jpg,,US
Dwight Howard,1130.55,2009.15,1120.7,0,https://www.basketball-reference.com/req/202102031/images/players/howardw01.jpg,,US
Dwight Howard,1140.4,2009.2,1130.55,0,https://www.basketball-reference.com/req/202102031/images/players/howardw01.jpg,,US
Dwight Howard,1150.25,2009.25,1140.4,0,https://www.basketball-reference.com/req/202102031/images/players/howardw01.jpg,,US
Dwight Howard,1160.1,2009.3,1150.25,0,https://www.basketball-reference.com/req/202102031/images/players/howardw01.jpg,,US
Dwight Howard,1169.95,2009.35,1160.1,0,https://www.basketball-reference.com/req/202102031/images/players/howardw01.jpg,,US
Dwight Howard,1179.8,2009.4,1169.95,0,https://www.basketball-reference.com/req/202102031/images/players/howardw01.jpg,,US
Dwight Howard,1189.65,2009.45,1179.8,0,https://www.basketball-reference.com/req/202102031/images/players/howardw01.jpg,,US
Dwight Howard,1199.5,2009.5,1189.65,0,https://www.basketball-reference.com/req/202102031/images/players/howardw01.jpg,,US
Dwight Howard,1209.35,2009.55,1199.5,0,https://www.basketball-reference.com/req/202102031/images/players/howardw01.jpg,,US
Dwight Howard,1219.2,2009.6,1209.35,0,https://www.basketball-reference.com/req/202102031/images/players/howardw01.jpg,,US
Dwight Howard,1229.05,2009.65,1219.2,0,https://www.basketball-reference.com/req/202102031/images/players/howardw01.jpg,,US
Dwight Howard,1238.9,2009.7,1229.05,0,https://www.basketball-reference.com/req/202102031/images/players/howardw01.jpg,,US
Dwight Howard,1248.75,2009.75,1238.9,0,https://www.basketball-reference.com/req/202102031/images/players/howardw01.jpg,,US
Dwight Howard,1258.6,2009.8,1248.75,0,https://www.basketball-reference.com/req/202102031/images/players/howardw01.jpg,,US
Dwight Howard,1268.45,2009.85,1258.6,0,https://www.basketball-reference.com/req/202102031/images/players/howardw01.jpg,,US
Dwight Howard,1278.3,2009.9,1268.45,0,https://www.basketball-reference.com/req/202102031/images/players/howardw01.jpg,,US
Dwight Howard,1288.15,2009.95,1278.3,0,https://www.basketball-reference.com/req/202102031/images/players/howardw01.jpg,,US
Dwight Howard,1298,2010,1288.15,2,https://www.basketball-reference.com/req/202102031/images/players/howardw01.jpg,,US
Dwight Howard,1309.35,2010.05,1298,0,https://www.basketball-reference.com/req/202102031/images/players/howardw01.jpg,,US
Dwight Howard,1320.7,2010.1,1309.35,0,https://www.basketball-reference.com/req/202102031/images/players/howardw01.jpg,,US
Dwight Howard,1332.05,2010.15,1320.7,0,https://www.basketball-reference.com/req/202102031/images/players/howardw01.jpg,,US
Dwight Howard,1343.4,2010.2,1332.05,0,https://www.basketball-reference.com/req/202102031/images/players/howardw01.jpg,,US
Dwight Howard,1354.75,2010.25,1343.4,0,https://www.basketball-reference.com/req/202102031/images/players/howardw01.jpg,,US
Dwight Howard,1366.1,2010.3,1354.75,0,https://www.basketball-reference.com/req/202102031/images/players/howardw01.jpg,,US
Dwight Howard,1377.45,2010.35,1366.1,0,https://www.basketball-reference.com/req/202102031/images/players/howardw01.jpg,,US
Dwight Howard,1388.8,2010.4,1377.45,0,https://www.basketball-reference.com/req/202102031/images/players/howardw01.jpg,,US
Dwight Howard,1400.15,2010.45,1388.8,0,https://www.basketball-reference.com/req/202102031/images/players/howardw01.jpg,,US
Dwight Howard,1411.5,2010.5,1400.15,0,https://www.basketball-reference.com/req/202102031/images/players/howardw01.jpg,,US
Dwight Howard,1422.85,2010.55,1411.5,0,https://www.basketball-reference.com/req/202102031/images/players/howardw01.jpg,,US
Dwight Howard,1434.2,2010.6,1422.85,0,https://www.basketball-reference.com/req/202102031/images/players/howardw01.jpg,,US
Dwight Howard,1445.55,2010.65,1434.2,0,https://www.basketball-reference.com/req/202102031/images/players/howardw01.jpg,,US
Dwight Howard,1456.9,2010.7,1445.55,0,https://www.basketball-reference.com/req/202102031/images/players/howardw01.jpg,,US
Dwight Howard,1468.25,2010.75,1456.9,0,https://www.basketball-reference.com/req/202102031/images/players/howardw01.jpg,,US
