name,value,year,lastValue,rank,image,largeDate,country
Steve Kerr,0.475,1992,0.475,1,https://www.basketball-reference.com/req/202102031/images/players/kerrst01.jpg,1992,LB
Steve Kerr,0.474,1992.05,0.475,0,https://www.basketball-reference.com/req/202102031/images/players/kerrst01.jpg,1992.05,LB
Steve Kerr,0.473,1992.1,0.474,0,https://www.basketball-reference.com/req/202102031/images/players/kerrst01.jpg,1992.1,LB
Steve Kerr,0.472,1992.15,0.473,0,https://www.basketball-reference.com/req/202102031/images/players/kerrst01.jpg,1992.15,LB
Steve Kerr,0.471,1992.2,0.472,0,https://www.basketball-reference.com/req/202102031/images/players/kerrst01.jpg,1992.2,LB
Steve Kerr,0.47,1992.25,0.471,0,https://www.basketball-reference.com/req/202102031/images/players/kerrst01.jpg,1992.25,LB
Steve Kerr,0.469,1992.3,0.47,0,https://www.basketball-reference.com/req/202102031/images/players/kerrst01.jpg,1992.3,LB
Steve Kerr,0.468,1992.35,0.469,0,https://www.basketball-reference.com/req/202102031/images/players/kerrst01.jpg,1992.35,LB
Steve Kerr,0.467,1992.4,0.468,0,https://www.basketball-reference.com/req/202102031/images/players/kerrst01.jpg,1992.4,LB
Steve Kerr,0.466,1992.45,0.467,0,https://www.basketball-reference.com/req/202102031/images/players/kerrst01.jpg,1992.45,LB
Steve Kerr,0.465,1992.5,0.466,0,https://www.basketball-reference.com/req/202102031/images/players/kerrst01.jpg,1992.5,LB
Steve Kerr,0.464,1992.55,0.465,0,https://www.basketball-reference.com/req/202102031/images/players/kerrst01.jpg,1992.55,LB
Steve Kerr,0.463,1992.6,0.464,0,https://www.basketball-reference.com/req/202102031/images/players/kerrst01.jpg,1992.6,LB
Steve Kerr,0.462,1992.65,0.463,0,https://www.basketball-reference.com/req/202102031/images/players/kerrst01.jpg,1992.65,LB
Steve Kerr,0.461,1992.7,0.462,0,https://www.basketball-reference.com/req/202102031/images/players/kerrst01.jpg,1992.7,LB
Steve Kerr,0.46,1992.75,0.461,0,https://www.basketball-reference.com/req/202102031/images/players/kerrst01.jpg,1992.75,LB
Steve Kerr,0.459,1992.8,0.46,0,https://www.basketball-reference.com/req/202102031/images/players/kerrst01.jpg,1992.8,LB
Steve Kerr,0.458,1992.85,0.459,0,https://www.basketball-reference.com/req/202102031/images/players/kerrst01.jpg,1992.85,LB
Steve Kerr,0.457,1992.9,0.458,0,https://www.basketball-reference.com/req/202102031/images/players/kerrst01.jpg,1992.9,LB
Steve Kerr,0.456,1992.95,0.457,0,https://www.basketball-reference.com/req/202102031/images/players/kerrst01.jpg,1992.95,LB
Steve Kerr,0.455,1993,0.456,1,https://www.basketball-reference.com/req/202102031/images/players/kerrst01.jpg,1993,LB
Steve Kerr,0.455,1993.05,0.455,0,https://www.basketball-reference.com/req/202102031/images/players/kerrst01.jpg,1993.05,LB
Steve Kerr,0.454,1993.1,0.455,0,https://www.basketball-reference.com/req/202102031/images/players/kerrst01.jpg,1993.1,LB
Steve Kerr,0.454,1993.15,0.454,0,https://www.basketball-reference.com/req/202102031/images/players/kerrst01.jpg,1993.15,LB
Steve Kerr,0.453,1993.2,0.454,0,https://www.basketball-reference.com/req/202102031/images/players/kerrst01.jpg,1993.2,LB
Steve Kerr,0.453,1993.25,0.453,0,https://www.basketball-reference.com/req/202102031/images/players/kerrst01.jpg,1993.25,LB
Steve Kerr,0.452,1993.3,0.453,0,https://www.basketball-reference.com/req/202102031/images/players/kerrst01.jpg,1993.3,LB
Steve Kerr,0.452,1993.35,0.452,0,https://www.basketball-reference.com/req/202102031/images/players/kerrst01.jpg,1993.35,LB
Steve Kerr,0.451,1993.4,0.452,0,https://www.basketball-reference.com/req/202102031/images/players/kerrst01.jpg,1993.4,LB
Steve Kerr,0.451,1993.45,0.451,0,https://www.basketball-reference.com/req/202102031/images/players/kerrst01.jpg,1993.45,LB
Steve Kerr,0.45,1993.5,0.451,0,https://www.basketball-reference.com/req/202102031/images/players/kerrst01.jpg,1993.5,LB
Steve Kerr,0.45,1993.55,0.45,0,https://www.basketball-reference.com/req/202102031/images/players/kerrst01.jpg,1993.55,LB
Steve Kerr,0.449,1993.6,0.45,0,https://www.basketball-reference.com/req/202102031/images/players/kerrst01.jpg,1993.6,LB
Steve Kerr,0.449,1993.65,0.449,0,https://www.basketball-reference.com/req/202102031/images/players/kerrst01.jpg,1993.65,LB
Steve Kerr,0.448,1993.7,0.449,0,https://www.basketball-reference.com/req/202102031/images/players/kerrst01.jpg,1993.7,LB
Steve Kerr,0.448,1993.75,0.448,0,https://www.basketball-reference.com/req/202102031/images/players/kerrst01.jpg,1993.75,LB
Steve Kerr,0.447,1993.8,0.448,0,https://www.basketball-reference.com/req/202102031/images/players/kerrst01.jpg,1993.8,LB
Steve Kerr,0.447,1993.85,0.447,0,https://www.basketball-reference.com/req/202102031/images/players/kerrst01.jpg,1993.85,LB
Steve Kerr,0.446,1993.9,0.447,0,https://www.basketball-reference.com/req/202102031/images/players/kerrst01.jpg,1993.9,LB
Steve Kerr,0.446,1993.95,0.446,0,https://www.basketball-reference.com/req/202102031/images/players/kerrst01.jpg,1993.95,LB
Steve Kerr,0.445,1994,0.446,1,https://www.basketball-reference.com/req/202102031/images/players/kerrst01.jpg,1994,LB
